Content,EventId,EventTemplate
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,41,AirPort: Link Down on awdl0. Reason <*> (Unspecified).
"PM response took 2010 ms (54, powerd)",150,PM response took <*> ms <*> powerd)
"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64",263,"ARPT: <*> wl0: Roamed or switched channel, reason <*> bssid <*> last RSSI <*>"
nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,1,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>
"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",185,"<*> Suspending AWDL, enterQuietMode(true)"
"network_reachability_changed : network is not reachable, netbiosd is shutting down",17,"network_reachability_changed : network is not reachable, netbiosd is shutting down"
CCFile::captureLogRun() Exiting CCFile::captureLogRun,7,CCFile::captureLogRun() Exiting CCFile::captureLogRun
com.apple.Addres(31211) deny network-outbound /private/var/run/mDNSResponder,256,<*> deny network-outbound <*>
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,55,<*> Resuming AWDL
ARPT: 621241.634070: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,171,ARPT: <*> wl0: MDNS: IPV6 Addr: <*>
AirPort: Link Up on en0,323,AirPort: Link Up on en0
Sandbox: com.apple.Addres(31229) deny(1) network-outbound /private/var/run/mDNSResponder,240,Sandbox: <*> network-outbound <*>
ARPT: 621342.242614: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],47,ARPT: <*> WWEN[enable]
AppleThunderboltGenericHAL::earlyWake - complete - took 0 milliseconds,235,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds
AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 7,193,<*> - retries = <*>
"ARPT: 621490.858770: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2119064372, Ack 3325040593, Win size 278",162,ARPT: <*> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*> Ack <*> Win size <*>
en0::IO80211Interface::postMessage bssid changed,144,<*> bssid changed
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,2,<*> - intel_rp = <*> dlla_reporting_supported = <*>
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,55,<*> Resuming AWDL
mDNS_RegisterInterface: Frequent transitions for interface en0 (FE80:0000:0000:0000:C6B3:01FF:FECD:467F),102,mDNS_RegisterInterface: Frequent transitions for interface en0 <*>
AppleCamIn::wakeEventHandlerThread,227,AppleCamIn::wakeEventHandlerThread
"ARPT: 621686.164365: wl0: setup_keepalive: Local port: 62614, Remote port: 443",52,ARPT: <*> wl0: setup_keepalive: Local port: <*> Remote port: <*>
-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when=2017-07-01 17:08:20 +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),305,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) <*> (null)/(null) opts=(null) <*> from=(null)/(null) (UABestAppSuggestionManager.m <*>
en0: channel changed to 1,3,en0: channel changed to <*>
ARPT: 621799.252673: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,244,ARPT: <*> AQM agg results <*> len hi/lo: <*>
"CCFile::captureLog Received Capture notice id: 1498928900.759059, reason = AuthFail:sts:5_rsn:0",308,CCFile::captureLog Received Capture notice id: <*> reason = <*>
IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,259,<*> Setting the AWDL operation mode from AUTO to SUSPENDED
Unrecognized attribute value: t:AbchPersonItemType,91,Unrecognized attribute value: t:AbchPersonItemType
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",246,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error <*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}"
"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",86,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data"
10:46:47.425 : BTLE scanner Powered On,149,<*> : BTLE scanner Powered On
button report: 0x8002be0,269,button report: <*>
11:20:51.293 : BTLE discovered device with hash <01faa200 00000000 0000>,286,<*> : BTLE discovered device with hash <*>
"securityd_xpc_dictionary_handler cloudd[326] copy_matching Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",289,"securityd_xpc_dictionary_handler <*> copy_matching Error Domain=NSOSStatusErrorDomain <*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}"
Location icon should now be in state 'Inactive',173,Location icon should now be in state 'Inactive'
"ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10",220,ARPT: <*> wl0: setup_keepalive: interval <*> retry_interval <*> retry_count <*>
ARPT: 626126.086246: wl0: MDNS: IPV4 Addr: 10.105.160.95,205,ARPT: <*> wl0: MDNS: IPV4 Addr: <*>
en0::IO80211Interface::postMessage bssid changed,144,<*> bssid changed
__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000,116,<*> evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! <*>
"Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0",176,Setting BTCoex Config: <*>
Captive: [CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),106,Captive: <*> en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive)
en0::IO80211Interface::postMessage bssid changed,144,<*> bssid changed
-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,316,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.
11:46:19.229 : Finished generating hashes,252,<*> : Finished generating hashes
Captive: CNPluginHandler en0: Evaluating,177,Captive: CNPluginHandler en0: Evaluating
tcp_connection_destination_perform_socket_connect 19110 connectx to 183.57.48.75:80@0 failed: [50] Network is down,16,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: <*> Network is down
AirPort: Link Down on en0. Reason 8 (Disassociated because station leaving).,254,AirPort: Link Down on en0. Reason <*> (Disassociated because station leaving).
"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",190,USBMSC Identifier (non-unique): <*>
CCXPCService::setStreamEventHandler Registered for notification callback.,72,CCXPCService::setStreamEventHandler Registered for notification callback.
[0701/114930:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,175,<*> Failed to read DnsConfig.
Saw change in network reachability (isReachable=2),284,Saw change in network reachability <*>
[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01),126,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host <*>
en0: BSSID changed to 5c:50:15:36:bc:03,10,en0: BSSID changed to <*>
dnssd_clientstub ConnectToServer: connect()-> No of tries: 1,274,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>
-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,118,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID
"RTC: Maintenance 2017/7/1 19:52:56, sleep 2017/7/1 19:40:18",184,RTC: Maintenance <*> sleep <*>
AppleCamIn::wakeEventHandlerThread,227,AppleCamIn::wakeEventHandlerThread
RTC: PowerByCalendarDate setting ignored,147,RTC: PowerByCalendarDate setting ignored
en0: 802.11d country code set to 'X3'.,296,en0: <*> country code set to <*>
"ARPT: 627305.613279: wl0: setup_keepalive: Seq: 1664112163, Ack: 818851215, Win size: 4096",66,ARPT: <*> wl0: setup_keepalive: Seq: <*> Ack: <*> Win size: <*>
QQ(10018) deny mach-lookup com.apple.networking.captivenetworksupport,228,<*> deny mach-lookup com.apple.networking.captivenetworksupport
[HID] [MT] AppleMultitouchDevice::willTerminate entered,199,[HID] [MT] AppleMultitouchDevice::willTerminate entered
[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,212,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback
PMStats: Hibernate read took 197 ms,165,PMStats: Hibernate read took <*> ms
dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted,143,dnssd_clientstub ConnectToServer: connect() failed <*> Socket:4 <*> Operation not permitted
"pages 1471315, wire 491253, act 449877, inact 3, cleaned 0 spec 5, zf 23, throt 0, compr 345876, xpmapped 40000",15,pages <*> wire <*> act <*> inact <*> cleaned <*> spec <*> zf <*> throt <*> compr <*> xpmapped <*>
"VDCAssistant:  Found a camera (0x1430000005ac8290) , but was not able to start it up (0x0 -- (os/kern) successful)",78,"VDCAssistant:  Found a camera <*> , but was not able to start it up <*> -- (os/kern) successful)"
handle_will_sleep_auth_and_shield_windows: Reordering authw 0x7fa823a04400(2004) (lock state: 3),128,handle_will_sleep_auth_and_shield_windows: Reordering authw <*> (lock state: <*>
button report: 0x8002bdf,269,button report: <*>
"2017-07-01 19:46:26.133 GoogleSoftwareUpdateAgent[31702/0x7000002a0000] [lvl=2] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <KSUpdateEngine:0x100259c60 ticketStore=<KSPersistentTicketStore:0x100253770 store=<KSKeyedPersistentStore:0x100254d10 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:0x100254d80 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> processor=<KSActionProcessor:0x100259e70 delegate=<KSUpdateEngine:0x100259c60> isProcessing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:0x1002594d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >",168,"<*> -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> <*> isProcessing=NO <*> currentActionErrors=0 <*> actionQueue=( ) > delegate=(null) <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> <*> >"
-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: 0x7f9950712080>.,262,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>
Error returned from iconservicesagent: (null),301,Error returned from iconservicesagent: (null)
tcp_connection_tls_session_error_callback_imp 1977 __tcp_connection_tls_session_callback_write_block_invoke.434 error 22,303,tcp_connection_tls_session_error_callback_imp <*> error <*>
"SecOSStatusWith error:[-50] Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",188,"SecOSStatusWith <*> Error Domain=NSOSStatusErrorDomain <*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}"
send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,43,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.
WARNING: Type1 font data isn't in the correct format required by the Adobe Type 1 Font Format specification.,197,WARNING: <*> font data isn't in the correct format required by the Adobe Type <*> Font Format specification.
"com.apple.ical.sync.x-coredata://DB05755C-483D-44B7-B93B-ED06E57FF420/CalDAVPrincipal/p11: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 59 seconds.  Ignoring.",115,"<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
"device_generate_desktop_screenshot: authw 0x7fa823c89600(2000), shield 0x7fa8258cac00(2001)",311,device_generate_desktop_screenshot: authw <*> shield <*>
[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].],74,[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; <*>
"NETWORK: requery, 0, 0, 0, 0, 250, items, fQueryRetries, 0, fLastRetryTimestamp, 520665636.6",179,"NETWORK: requery, <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>"
button report: 0x8002bdf,269,button report: <*>
Previous sleep cause: 5,129,Previous sleep cause: <*>
Wake reason: RTC (Alarm),160,Wake reason: RTC (Alarm)
AppleThunderboltNHIType2::prePCIWake - power up complete - took 2 us,12,<*> - power up complete - took <*> us
network changed: v4(en0-:10.105.163.202) v6(en0:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS! Proxy SMB,34,network changed: <*> DNS! Proxy SMB
hibernate_page_list_setall found pageCount 448015,35,hibernate_page_list_setall found pageCount <*>
[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,302,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key
[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- 0x7000,53,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>
FA||Url||taskID[2019353117] dealloc,64,<*> dealloc
"2017-07-02 10:40:07.676 GoogleSoftwareUpdateAgent[32012/0x7000002a0000] [lvl=2] -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for ""com.google.Keystone"" using engine <KSUpdateEngine:0x100313e70 ticketStore=<KSPersistentTicketStore:0x100332a60 store=<KSKeyedPersistentStore:0x100315fa0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:0x1003176d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> processor=<KSActionProcessor:0x1003143e0 delegate=<KSUpdateEngine:0x100313e70> isProcessing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:0x100311a10 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >",275,"<*> -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for ""com.google.Keystone"" using engine <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> <*> isProcessing=NO <*> currentActionErrors=0 <*> actionQueue=( ) > delegate=(null) <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> <*> >"
2017/07/02 11:38:49.414 | I | VoipWrapper  | DAVEngineImpl.cpp:1400:Close             | close video chat. llFriendUIN = ******2341.,198,<*> | I | VoipWrapper  | <*>             | close video chat. llFriendUIN = <*>
Bluetooth -- LE is supported - Disable LE meta event,27,Bluetooth -- LE is supported - Disable LE meta event
12:15:23.005 : Discoverable mode changed to Off,70,<*> : Discoverable mode changed to Off
tcp_connection_handle_connect_conditions_bad 19617 failed: 3 - No network route,271,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route
ARPT: 645957.322055: wl0: setup_keepalive: Local IP: 10.105.163.202,178,ARPT: <*> wl0: setup_keepalive: Local IP: <*>
TBT W (2): 0x0040 [x],310,TBT W <*> [x]
network changed: DNS* Proxy,95,network changed: DNS* Proxy
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,55,<*> Resuming AWDL
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,55,<*> Resuming AWDL
ASL Sender Statistics,29,ASL Sender Statistics
2017-07-02 15:46:40.516 GoogleSoftwareUpdateAgent[32432/0x7000002a0000] [lvl=2] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched '/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/ksfetch' with process id: 32433,201,<*> -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched '/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/ksfetch' with process id: <*>
"2017-07-02 15:46:40.697 GoogleSoftwareUpdateAgent[32432/0x7000002a0000] [lvl=2] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'com.google.Keystone'.",82,"<*> -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'com.google.Keystone'."
2017-07-02 15:46:41.445 ksfetch[32435/0x7fff79824000] [lvl=2] main() ksfetch fetching URL (<NSMutableURLRequest: 0x1005110b0> { URL: https://tools.google.com/service/update2?cup2hreq=53f725cf03f511fab16f19e789ce64aa1eed72395fc246e9f1100748325002f4&cup2key=7:1132320327 }) to folder:/tmp/KSOutOfProcessFetcher.YH2CjY1tnx/download,257,<*> main() ksfetch fetching URL (<NSMutableURLRequest: <*> { URL: <*> }) to <*>
FA||Url||taskID[2019353182] dealloc,64,<*> dealloc
"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc",22,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper error = <*> The specified service did not ship in the requestor's bundle, origin = <*>"
[17:13:46.390] <<<< IQ-CA >>>> piqca_setUsePreQueue: (0x7f92413e3000) rejecting report of layer being serviced - IQ has not yet begun to update,276,<*> <<<< IQ-CA >>>> piqca_setUsePreQueue: <*> rejecting report of layer being serviced - IQ has not yet begun to update
[17:19:15.148] itemasync_SetProperty signalled err=-12785 (kFigBaseObjectError_Invalidated) (invalidated) at /Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-1731.15.207/Prototypes/Player/FigPlayer_Async.c line 2306,140,<*> itemasync_SetProperty signalled <*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>
KeychainGetICDPStatus: keychain: -25300,99,KeychainGetICDPStatus: keychain: <*>
KeychainGetICDPStatus: keychain: -25300,99,KeychainGetICDPStatus: keychain: <*>
KeychainGetICDPStatus: keychain: -25300,99,KeychainGetICDPStatus: keychain: <*>
host connection <NSXPCConnection: 0x7fddbbb015c0> connection from pid 30298 invalidated,67,host connection <NSXPCConnection: <*> connection from pid <*> invalidated
Error in CoreDragRemoveReceiveHandler: -1856,153,Error in CoreDragRemoveReceiveHandler: <*>
ARPT: 661549.802297: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,103,ARPT: <*> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
"ARPT: 661552.832561: IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",26,"ARPT: <*> IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>"
in6_unlink_ifa: IPv6 address 0x77c9114551ab23ab has no prefix,122,in6_unlink_ifa: IPv6 address <*> has no prefix
"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1001 ""The request timed out."" UserInfo={NSUnderlyingError=0x7fe133460660 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, _kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, _kCFStreamErrorDomainKey=4, _kCFStreamErrorCodeKey=-2102, NSLocalizedDescription=The request timed out.}",211,"PBRequester failed with Error Error Domain=NSURLErrorDomain <*> ""The request timed out."" <*> {Error Domain=kCFErrorDomainCFNetwork <*> ""The request timed out."" <*> NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, <*> _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, <*> _kCFStreamErrorDomainKey=4, <*> NSLocalizedDescription=The request timed out.}"
AppleCamIn::wakeEventHandlerThread,227,AppleCamIn::wakeEventHandlerThread
"device_generate_lock_screen_screenshot: authw 0x7fa823962400(2000)[0, 0, 1440, 900] shield 0x7fa82d372000(2001), dev [1440,900]",164,device_generate_lock_screen_screenshot: authw <*> shield <*> dev <*>
2017-07-02 20:50:47.457 ksfetch[32776/0x7fff79824000] [lvl=2] KSHelperReceiveAllData() KSHelperTool read 1926 bytes from stdin.,314,<*> KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.
[21:17:07.529] FigAgglomeratorSetObjectForKey signalled err=-16020 (kFigStringConformerError_ParamErr) (NULL key) at /Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-1731.15.207/Prototypes/LegibleOutput/FigAgglomerator.c line 92,33,<*> FigAgglomeratorSetObjectForKey signalled <*> (kFigStringConformerError_ParamErr) <*> key) at <*> line <*>
ASL Sender Statistics,29,ASL Sender Statistics
21:48:53.041 : BTLE scanner Powered Off,107,<*> : BTLE scanner Powered Off
"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=0x7fe13512cf70 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12, NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, _kCFStreamErrorDomainKey=12, _kCFStreamErrorCodeKey=8, NSLocalizedDescription=The Internet connection appears to be offline.}",50,"PBRequester failed with Error Error Domain=NSURLErrorDomain <*> ""The Internet connection appears to be offline."" <*> {Error Domain=kCFErrorDomainCFNetwork <*> ""The Internet connection appears to be offline."" <*> NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, <*> NSLocalizedDescription=The Internet connection appears to be offline.}}, <*> NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, <*> _kCFStreamErrorCodeKey=8, NSLocalizedDescription=The Internet connection appears to be offline.}"
ARPT: 669592.164786: AQM agg params 0xfc0 maxlen hi/lo 0x0 0xffff minlen 0x0 adjlen 0x0,123,ARPT: <*> AQM agg params <*> maxlen hi/lo <*> minlen <*> adjlen <*>
Received Capture Event,281,Received Capture Event
Sandbox: QQ(10018) deny(1) mach-lookup com.apple.networking.captivenetworksupport,157,Sandbox: <*> mach-lookup com.apple.networking.captivenetworksupport
CCFile::captureLogRun() Exiting CCFile::captureLogRun,7,CCFile::captureLogRun() Exiting CCFile::captureLogRun
[22:32:34.846] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,187,<*> <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification
ASL Sender Statistics,29,ASL Sender Statistics
sigio_handler: sigio_handler_active != 0,218,sigio_handler: sigio_handler_active != <*>
