EventId,EventTemplate,Occurrences
44c82a06,Task: <*> exited : java.net.NoRouteToHostException: No Route to Host from  <*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost,2
410c36f9,Added <*> to list of failed maps,2
38c14f3b,Not uberizing <*> because: not enabled; too many maps; too much input;,1
0a1bddef,Done acknowledgement from <*>,1
3c5bb15c,Executing with tokens:,1
62365dbe,queue: default,1
17dc3b51,maxTaskFailuresPerNode is <*>,1
ca7d7941,loaded properties from <*>,1
60d079c6,Adding <*> tokens and <*> secret keys for NM use for launching container,1
d0cf8682,maxContainerCapability: <*>,1
d3121b5d,Adding job token for <*> to jobTokenSecretManager,1
10357c40,JOB_CREATE <*>,1
d4ff27f3,Diagnostics report from <*> Container killed by the ApplicationMaster.,1
d79644a2,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1
dcd06e1a,Jetty bound to port <*>,1
e051b4cf,DefaultSpeculator.addSpeculativeAttempt <*> we are speculating <*>,1
65f1e337,Slow ReadProcessor read fields took <*> ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*> targets: <*>,1
09f888b9,"MRAppMaster launching normal, <*> job <*>",1
e8090e05,Instantiated MRClientService at <*>,1
ec6b84b4,Reduce slow start threshold reached. Scheduling reduces.,1
efe991f2,"Cannot assign container Container: [ContainerId: <*> NodeId: <*> NodeHttpAddress: <*> Resource: <*> Priority: <*> Token: Token { kind: ContainerToken, service: <*> }, ] for a map as either  container memory less than required <*> or no pending map tasks <*>",1
f15bb7b8,Event Writer setup for JobId: <*> File: <*>,1
5ba9445a,Registered webapp guice modules,1
fb51feed,Input size for job <*> = <*> Number of splits = <*>,1
fc38bf1a,Extract <*> to <*>,1
fc657c96,MRAppMaster metrics system started,1
0859dbfb,Http request log for http.requests.mapreduce is not defined,1
58cb7afe,Number of reduces for job <*> = <*>,1
c7f3ffdf,Connecting to ResourceManager at <*>,1
2712fdae,Container complete event for unknown container id <*>,1
361211a0,Upper limit on the thread pool size is <*>,1
9e8ad6ab,Scheduled snapshot period at <*> second(s).,1
32df8be6,Started <*>,1
31bfc913,Web app /mapreduce started at <*>,1
2ef07439,DataStreamer Exception,1
82ea09ae,Created MRAppMaster for application <*>,1
83dc9e4a,DFSOutputStream ResponseProcessor exception  for block <*>,1
0594ecc2,Using mapred newApiCommitter.,1
8b1732f5,nodeBlacklistingEnabled:true,1
8c4d0a72,Adding protocol <*> to the server,1
6e264523,We launched <*> speculations.  Sleeping <*> milliseconds.,1
92acadf7,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>",1
93a481e4,blacklistDisablePercent is <*>,1
944f8887,Putting shuffle token in serviceData,1
2dc833aa,Error writing History Event: <*>,1
c0c8618d,OutputCommitter set in config null,1
6b77fa65,<*>,1
a5763810,Scheduling a redundant attempt for task <*>,1
a79a1702,Logging to <*> via <*>,1
a81458ea,Num completed Tasks: <*>,1
a83c59ee,Size of containertokens_dob is <*>,1
a8927e0e,Added global filter 'safety' <*>,1
a9986fb2,Error Recovery for block <*> in pipeline <*> bad datanode <*>,1
584a76a0,"Thread Thread[eventHandlingThread,5,main] threw an Exception.",1
2b3d75c5,<*> : <*>,1
3a03968c,Emitting job history data to the timeline server is not enabled,1
28e777aa,All maps assigned. Ramping up all remaining <*>,1
bdc2ec2a,Before Scheduling: <*>,1
04500f53,Task succeeded with attempt <*>,1
