EventId,EventTemplate,Occurrences
f034e86a,"startInsertSportSync first <*> steps sync,do all sync",2
03c259bc,"startInsertSportSync start auto sync,app is <*>",2
824b3d7b,"getAppContext() isAppValid health or wear, packageName = com.huawei.health",2
b1214232,<*>,1
b3d6ad7f,flush2DB result success,1
b200aec0,<*>,1
b13a454b,saveRealTimeHealthDatasStat() size = <*> = <*>,1
00d03c97,tryToRecordAsBasicStepData bWrite true,1
b4864268,<*>,1
b65b1849,<*>,1
b79a01c7,<*>,1
ba411c2a,<*>,1
bab11dc4,<*>,1
c1f5e07f,registersensorsuccess: true,1
c2864c0d,<*>,1
c2e9ad21,InsertCallBack() onSuccess  type = <*> data=true,1
c339c432,<*>,1
c3fa669a,<*>,1
c43244e7,<*>,1
c47c5d4e,<*>,1
c5a628cf,deleteHealthNotification(),1
bf7e24c5,"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <*> oldDay is <*>",1
a7700609,<*>,1
b118e539,<*>,1
96a56840,<*>,1
8a4bc6cd,<*>,1
8b307123,<*>,1
8b3a278c,reload : <*> restar <*>,1
8b4aebf1,<*>,1
8d0699ec,<*>,1
8d1d93ff,<*>,1
8d508e2c,<*>,1
8e523808,closeNotification...,1
8e776ad8,<*>,1
8f472893,<*>,1
900a7e3b,<*>,1
93bf78e0,<*>,1
94574c83,<*>,1
95538643,<*>,1
98c8b747,<*>,1
b040fd7f,<*>,1
99246e64,<*>,1
9a797011,<*>,1
9adf04b9,setBasicStandardSteps <*>,1
9bf7cf41,setGoalNotifiShownRecord <*> false,1
9f17cd08,<*>,1
9f2872a5,<*>,1
9f2bcda7,<*>,1
a49593ba,<*>,1
a536e5e4,<*>,1
a59f9168,<*>,1
a61adff4,<*>,1
a7a2ad5b,<*>,1
a9983095,<*>,1
ab4d2713,<*>,1
c5f34138,<*>,1
cd2339ce,<*>,1
c68fe76b,<*>,1
c74d5c11,<*>,1
ee96b38d,<*>,1
ee91be87,<*>,1
ee8655c1,<*>,1
ee50d75f,<*>,1
ea2c22c6,<*>,1
ea0d7701,<*>,1
e8eaba0f,<*>,1
e8c62de9,<*>,1
e8591fbb,<*>,1
e7f4349f,<*>,1
e788f919,initEnviroument,1
e6723eaa,<*>,1
e62c723f,<*>,1
e5a2c440,<*>,1
e3be125d,<*>,1
f08d9d00,<*>,1
f2e7fbb5,<*>,1
f488f506,<*>,1
fcfc0b45,<*>,1
ff55d254,getStepCounterStatus= true,1
ff3ee216,InsertEvent success <*>,1
ff0beb79,<*>,1
feee0827,<*>,1
fe47db87,<*>,1
fd119f19,<*>,1
fc3bf880,<*>,1
f6873e23,<*>,1
fab2955d,<*>,1
fa9e9160,<*>,1
fa67cd9f,<*>,1
f84aac1d,<*>,1
f6c76fb8,<*>,1
f6baec14,<*>,1
e2276a84,<*>,1
e1fe8d25,theDayChanged <*>,1
e149cc05,<*>,1
ce0860cc,<*>,1
d2d94e27,<*>,1
d23395ff,<*>,1
d1f695c7,<*>,1
d0248d92,<*>,1
cf6d7626,<*>,1
ce69c5e2,<*>,1
86a4c277,<*>,1
d4bbe308,<*>,1
cbe37772,<*>,1
cb756db0,<*>,1
ca40d105,<*>,1
c93c2fac,<*>,1
c7d89996,<*>,1
c7cd2259,<*>,1
d452366d,<*>,1
d4e44439,<*>,1
e0b37ed5,<*>,1
da883d28,uploadStaticsToDB() onResult  type = <*> obj=true,1
df238bda,<*>,1
dee90573,<*>,1
ddd3ce33,<*>,1
dd9e9246,<*>,1
dd93492f,<*>,1
dd528839,<*>,1
d9948f7e,<*>,1
d5c26f88,<*>,1
d992b919,<*>,1
d9319115,<*>,1
d8d89bf2,<*>,1
d71b744e,<*>,1
d6d1e4f3,<*>,1
d6bb1135,<*>,1
86bcfaea,reStartStepCounter,1
820f5f15,<*>,1
862eefb7,<*>,1
41be5d53,<*>,1
2ea9f717,<*>,1
2e8c2dfa,<*>,1
2e5d5591,<*>,1
2dc093d5,<*>,1
2ca6c1d9,<*>,1
2b5851da,<*>,1
293dfba1,<*>,1
28d2d866,<*>,1
25fc5903,<*>,1
2475596e,<*>,1
23e0381b,<*>,1
2382a92b,<*>,1
225e0290,<*>,1
2218f926,<*>,1
220c6d5d,<*>,1
2eb9e5e4,<*>,1
2f354e84,<*>,1
2f3d2efc,<*>,1
3616b800,clear(),1
3de974e4,<*>,1
3bc39cbb,<*>,1
3b3d281c,<*>,1
3a89c991,<*>,1
38fbedd0,<*>,1
383dcb70,<*>,1
35a49558,<*>,1
2f61385b,<*>,1
3540dbd8,<*>,1
33f60d7d,<*>,1
32a5d976,<*>,1
3244bf49,getStepCounterStatus,1
2f983375,<*>,1
2f65c0e3,<*>,1
21e66746,<*>,1
21e0b958,<*>,1
20fd691e,<*>,1
09200e18,<*>,1
0da159ce,writeDataToDB size <*>,1
0cdc4275,<*>,1
0b17170a,<*>,1
0a756428,<*>,1
0a133f16,<*>,1
093bd3bc,<*>,1
08d7787b,<*>,1
0dd728a7,<*>,1
0635a938,flushTempCacheToDB by stand,1
04f1ea7d,<*>,1
04e282db,<*>,1
042d7a7a,setWriteDBLastDataMinute success,1
03a21551,isScreenOn true,1
02d29f24,<*>,1
0da5c16c,<*>,1
0eff0698,<*>,1
20087c9e,<*>,1
1a599fea,<*>,1
1f9289bd,<*>,1
1e5bef65,<*>,1
1d2280f8,<*>,1
1cf025d7,<*>,1
1c2837a7,<*>,1
1c06eca7,<*>,1
19bc5fc2,<*>,1
11b8eab9,<*>,1
1990adb0,<*>,1
1862dbd2,<*>,1
16e3a3ff,<*>,1
161ba043,uploadStaticsToDB failed message=true,1
1545ee7d,<*>,1
120f86c9,<*>,1
41a51257,<*>,1
4295ca8c,<*>,1
860d40b4,<*>,1
441b824d,<*>,1
71c57d39,<*>,1
719fba2b,Alarm uploadStaticsToDB <*>,1
708b66f4,<*>,1
70857a78,<*>,1
6dc04569,<*>,1
6d5498e0,<*>,1
6bec8724,<*>,1
6b8a33fe,<*>,1
68db493b,<*>,1
688c16fb,<*>,1
68827bb1,<*>,1
6837c17e,<*>,1
6635193f,<*>,1
6621ffba,<*>,1
6524fe32,<*>,1
71ffe66c,<*>,1
751048d1,<*>,1
7550903f,<*>,1
01a78960,<*>,1
85f105bd,<*>,1
8468c36c,<*>,1
842fff5e,<*>,1
842792e0,<*>,1
82fb2433,<*>,1
82a1456b,<*>,1
803158d8,<*>,1
779cf8db,<*>,1
7fe4dc5a,<*>,1
7dc8bc7c,<*>,1
7d1a6097,<*>,1
7cf8c583,<*>,1
79972429,<*>,1
789969cb,<*>,1
6421317f,<*>,1
6387fdc3,<*>,1
60fbe948,<*>,1
4b04e276,<*>,1
514a7149,<*>,1
50a2de27,<*>,1
5013859c,<*>,1
4e84078b,<*>,1
4c0a0c49,<*>,1
4bf5e05f,<*>,1
4a75944f,<*>,1
52e43acf,<*>,1
4a6693d5,<*>,1
49f68ec6,<*>,1
494b61a0,<*>,1
4666feb3,<*>,1
46056afe,next <*>,1
45c6a6df,<*>,1
514abfb6,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = 4,errorMessage = ERR_DATA_INSERT",1
530ac75a,<*>,1
5fe3b784,<*>,1
5a11b9a8,<*>,1
5ed39ecc,<*>,1
5e7c652b,<*>,1
5dbd2fba,<*>,1
5bf2aee4,<*>,1
5b549a21,<*>,1
5b44466e,<*>,1
580471f9,<*>,1
53df3215,<*>,1
560f79f4,<*>,1
55efcd44,<*>,1
55e1e479,<*>,1
5581a385,<*>,1
542f6049,<*>,1
54057645,<*>,1
ffb006b5,"screen status unknown,think screen on",1
