EventId,EventTemplate,Occurrences
d9ec2e41,Ido chip status changed: <*> <*> v=13 <*> status=M <*> <*> <*> <*> PDT 2005,2
6a308701,"problem state (0=sup,1=usr).......0",2
600efdda,ciod: Error reading message prefix on CioStream socket to <*> Connection timed out,2
4f1ef491,Lustre mount FAILED : <*> : block_id : location,2
04162179,PrepareForService shutting down Node <*> mType(4)) as part of Service Action <*>,1
f5a4a642,ciod: Error loading <*> program image too <*> > <*>,1
45fc75d7,<*> ffffffff ffffffff ffffffff,1
d55367b1,Lustre mount FAILED : <*> : point <*>,1
07342848,"NFS Mount failed on <*> slept 15 seconds, retrying (1)",1
3d677d21,"NFS Mount failed on <*> slept <*> seconds, retrying <*>",1
93a3dafa,<*> ddr error(s) detected and corrected on rank <*> symbol <*> over <*> seconds,1
a5e30f97,ciod: In packet from node <*> message code <*> is not <*> or <*>,1
ad3f3991,<*> tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over <*> seconds,1
93d015b2,rts: bad message header: expecting type <*> instead of type <*>,1
2ba1baf7,critical input interrupt (unit=0x0b <*> warning for torus <*> wire,1
9ded9d56,critical input interrupt <*> warning for torus y+ wire,1
7859046b,size of scratchpad portion of <*>,1
aad7cb03,MACHINE CHECK DCR read timeout <*> iar <*> lr <*>,1
635030ff,ciod: Received signal <*>,1
bbb20c30,<*> torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over <*> seconds,1
32ce0186,<*> torus sender z- retransmission error(s) (dcr <*> detected and corrected over <*> seconds,1
9a637f27,ciod: Error reading message prefix on CioStream socket to <*> Connection reset by peer,1
edac2a3c,minus normalized <*>,1
e890a530,<*> EDRAM error(s) (dcr <*> detected and corrected,1
6f046d5d,fraction <*>,1
f0c191b1,<*> tree receiver <*> in re-synch state event(s) (dcr <*> detected over <*> seconds,1
322228ab,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,1
d4670f23,<*> EDRAM error(s) (dcr <*> detected and corrected over <*> seconds,1
6f8e2b82,"Error receiving packet on tree network, expecting type <*> instead of type <*>",1
a828f891,shutdown complete,1
0045c3a8,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",1
b71f47b5,ciod: LOGIN <*> failed: Input/output error,1
23403903,"critical input interrupt <*> warning for torus z+ wire, suppressing further interrupts of same type",1
45596929,"rts: kernel terminated for reason <*> bad message header: invalid cpu, <*>",1
46c02138,ciod: Missing or invalid fields on line 1 of node map file <*>,1
c39154ae,<*> tree receiver <*> in re-synch state event(s) (dcr <*> detected,1
1f5363ae,guaranteed instruction cache block <*>,1
d7c8b6b3,program interrupt: fp cr <*>,1
06072e40,core configuration register: <*>,1
94b01601,data address <*>,1
3971a417,byte ordering exception.....................0,1
72f8b54f,byte ordering <*>,1
2408faf6,debug interrupt <*>,1
a6e8cf74,floating pt ex mode <*>,1
511c1d0d,machine check enable..............0,1
ce2b6cdc,machine check <*>,1
3d25ae2e,auxiliary <*>,1
a1f3d63d,floating point instr. <*>,1
798f7321,problem state <*>,1
8d23c697,machine state register: <*>,1
40c9c002,store operation.............................1,1
cf72f933,store <*>,1
122d934b,program interrupt: illegal <*>,1
6c7d9254,machine check: <*>,1
22550c73,data address: <*>,1
e872bbe9,ciod: Message code <*> is not <*> or <*>,1
26ca1ed8,<*> ddr errors(s) detected and corrected on rank <*> symbol <*> bit <*>,1
9c0ffa0d,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,1
2e2b7acb,force load/store <*>,1
2177cafd,program interrupt: fp cr field <*>,1
9f7cd7e7,force load/store alignment...............0,1
ef0b9465,wait state <*>,1
fe6e303b,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file <*>,1
c42200c4,rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-,1
58680633,PrepareForService shutting down <*> mType(4)) as part of Service Action <*>,1
14f5bd87,Ido chip status changed: <*> status=M Thu Aug <*> PDT <*>,1
34832905,Ido chip status changed: <*> <*> <*> t=4 status=M <*> <*> <*> <*> PDT 2005,1
72cd2f73,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.,1
ab9b360b,"idoproxydb hit ASSERT condition: ASSERT <*> Source file=idotransportmgr.cpp Source <*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",1
328a194c,Node card status: ALERT <*> ALERT <*> ALERT <*> ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*> volt rail is OK. The <*> volt rail is OK.,1
12c46e92,NodeCard is not fully functional,1
6638dcad,New ido chip inserted into the database: <*>,1
fe410cc8,debug wait enable.................0,1
00d4ec36,ciod: Error creating node map from file <*> Permission denied,1
86bf963f,critical input interrupt <*>,1
4523125b,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>,1
9f673456,<*> torus receiver z+ input pipe error(s) (dcr <*> detected and corrected,1
c1646a49,ciod: Missing or invalid fields on line <*> of node map file <*>,1
d990cd72,Ido chip status changed: <*> status=M Fri Jul <*> PDT <*>,1
5d8a93fe,ciod: Error creating node map from file <*> No child processes,1
bb616e1c,disable store <*>,1
e80db302,instruction address <*>,1
8c155ada,debug wait <*>,1
af999985,rts internal error,1
f7c382bd,special purpose registers:,1
1a3df0d1,Machine State Register: <*>,1
