EventId,EventTemplate,Occurrences
d9e7a914,<*> FigAgglomeratorSetObjectForKey signalled <*> (kFigStringConformerError_ParamErr) <*> key) at <*> line <*>,11
c86dfdd9,Bluetooth -- LE is supported - Disable LE meta event,11
086cf4fa,<*> evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! <*>,10
b55176d9,jemmytest,10
0753c14d,ARPT: <*> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*> Ack <*> Win size <*>,10
42e9195d,############################## _getSysMsgList,10
b7a2d271,<*> bssid changed,10
548a9986,ARPT: <*> ARPT: Wake Reason: Wake on Scan offload,9
70e478c0,PM response took <*> ms <*> powerd),9
b5dd3697,ASL Sender Statistics,9
ea92f231,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,9
99b87c94,ARPT: <*> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,9
df7d7c2a,in6_unlink_ifa: IPv6 address <*> has no prefix,9
8d0bbd5d,"ARPT: <*> wl0: MDNS: <*> SRV Recs, <*> TXT Recs",9
a91f5e42,ARPT: <*> wl0: setup_keepalive: Local port: <*> Remote port: <*>,8
33b587ef,ARPT: <*> wl0: setup_keepalive: Seq: <*> Ack: <*> Win size: <*>,8
f713d2b6,"ARPT: <*> IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>",8
3600bdd8,"ARPT: <*> IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>",8
0bd7d6b3,ARPT: <*> wl0: setup_keepalive: Remote IP: <*>,8
5d52b3d1,tcp_connection_tls_session_error_callback_imp <*> error <*>,8
e9f3f528,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host <*>,8
91ae3b89,ARPT: <*> framerdy <*> bmccmd <*> framecnt <*>,8
75353338,Unrecognized attribute value: t:AbchPersonItemType,8
7a123c93,KeychainGetICDPStatus: status: off,8
0af63e74,<*> : BTLE scanner Powered On,8
cc50f92a,<*> : Scanning mode Contacts Only,7
7674dda1,network changed: <*> DNS! Proxy SMB,7
8501e33e,ARPT: <*> AQM agg results <*> len hi/lo: <*>,7
91eeaa24,"setting hostname to ""authorMacBook-Pro.local""",7
c5fb0953,button report: <*>,7
fddcfc77,Setting BTCoex Config: <*>,7
917783b9,ARPT: <*> AQM agg params <*> maxlen hi/lo <*> minlen <*> adjlen <*>,7
005b6de9,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,7
2fe4ad5c,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,7
4362eb23,<*> deny mach-lookup com.apple.networking.captivenetworksupport,6
8dc94ec9,<*> Will write to: <*> - <*>,6
54b60a13,button report: <*>,6
45b10d54,button report: <*>,6
31fcada6,<*> - intel_rp = <*> dlla_reporting_supported = <*>,6
13c2a597,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>,6
bceb4345,"SecOSStatusWith <*> Error Domain=NSOSStatusErrorDomain <*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",5
d8e2131a,[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; <*>,5
484f6a8a,<IMMacNotificationCenterManager: <*>    NC Disabled: NO,5
57ec2813,AirPort: Link Down on en0. Reason <*> (Disassociated because station leaving).,5
5a018b10,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*>,5
4752a3bd,<*> itemasync_SetProperty signalled <*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>,5
7437a69c,en0: <*> country code set to <*>,5
2068da72,Wake reason: RTC (Alarm),5
94349d5a,sigio_handler: sigio_handler_active != <*>,5
1e62c609,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 <*>,5
48b41a73,"securityd_xpc_dictionary_handler <*> copy_matching Error Domain=NSOSStatusErrorDomain <*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",4
83801e0d,ASSERTION FAILED: dvcAddrRef != ((void <*> -[DriverServices getDeviceAddress:] line: <*>,4
9f6d6604,<*> <<<< IQ-CA >>>> piqca_setUsePreQueue: <*> rejecting report of layer being serviced - IQ has not yet begun to update,4
1cc4f682,mDNS_RegisterInterface: Frequent transitions for interface en0 <*>,4
1b3b24d2,"NETWORK: no response from server, reachability, <*> queryRetries, <*>",4
2c3a9fce,<*> : BTLE scanner Powered Off,4
6de264d8,ARPT: <*> wl0: MDNS: IPV4 Addr: <*>,4
c6c6ddc6,<*> parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),4
8f5dffe0,"ARPT: <*> wl0: Roamed or switched channel, reason <*> bssid <*> last RSSI <*>",4
e3d70e64,<*> | I | VoipWrapper  | <*>             | close video chat. llFriendUIN = <*>,4
1f672af4,<*> itemasync_CopyProperty signalled <*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>,4
b58d6d06,Saw change in network reachability <*>,4
b1bcc516,ARPT: <*> wl0: setup_keepalive: Local IP: <*>,4
44545874,TBT W <*> [x],4
47bc472f,<*> Failed to read DnsConfig.,4
a097cfec,<*> <<<< CRABS >>>> crabsFlumeHostAvailable: <*> Byte flume reports host available again.,3
1efe32ce,network changed: DNS* Proxy,3
94f37b2f,assertion failed: <*> com.apple.telemetry + <*>,3
7e1070fc,"CCLogTap::profileRemoved, Owner: <*> Name: OneStats",3
975ff4da,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: <*> Network is down,3
a3ed931c,"Service ""com.apple.xpc.launchd.unmanaged.loginwindow.94"" tried to hijack endpoint ""com.apple.tsm.uiserver"" from owner: com.apple.SystemUIServer.agent",3
814e9471,**** [BroadcomBluetoothHostControllerUSBTransport][start] -- Completed (matched on Device) -- <*> ****,3
8fc06651,Sandbox: <*> mach-lookup com.apple.networking.captivenetworksupport,3
dfcdcbbe,Peripheral manager is not powered on,3
ccdef586,Wake reason: ARPT (Network),3
795a719d,[com.apple.calendar.store.log.caldav.queue] [Adding [<CalDAVAccountRefreshQueueableOperation: <*> Sequence: <*> to failed operations.],3
43658a65,[HID] [MT] AppleMultitouchDevice::willTerminate entered,3
9243e37f,CGXDisplayDidWakeNotification <*> posting kCGSDisplayDidWake,3
96315708,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> secs. to complete, <*> reads >= <*> sec.",3
6ecadd3f,"IOPMrootDomain: idle cancel, state <*>",3
ae5de759,"DB Error: <*> ""no such table: <*>",3
aad31e72,"PBRequester failed with Error Error Domain=NSURLErrorDomain <*> ""The Internet connection appears to be offline."" <*> {Error Domain=kCFErrorDomainCFNetwork <*> ""The Internet connection appears to be offline."" <*> NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, <*> NSLocalizedDescription=The Internet connection appears to be offline.}}, <*> NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, <*> _kCFStreamErrorCodeKey=8, NSLocalizedDescription=The Internet connection appears to be offline.}",3
b35055fa,wake time set <*> s,3
ca177a76,polled file major <*> minor <*> blocksize <*> pollers <*>,3
c6b40f22,Captive: <*> en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),3
7ad80bd1,"[Accounts] Current connection, <NSXPCConnection: <*> connection from pid <*> doesn't have account access.",2
75040252,Page bounds <*>,2
96f4868d,ChromeExistion main isUndetectWithCommand = <*>,2
038257e5,hibernate_page_list_setall found pageCount <*>,2
d960bc67,BuildActDeviceEntry exit,2
38f5380c,"PBRequester failed with Error Error Domain=NSURLErrorDomain <*> ""The request timed out."" <*> {Error Domain=kCFErrorDomainCFNetwork <*> ""The request timed out."" <*> NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, <*> _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, <*> _kCFStreamErrorDomainKey=4, <*> NSLocalizedDescription=The request timed out.}",2
1e78fa61,<*> : BTLE scanning stopped,2
773e06a3,BuildActDeviceEntry enter,2
d8f43a7c,<*> <<<< CRABS >>>> crabsFlumeHostUnavailable: <*> Byte flume reports host unavailable.,2
fb7dc6f7,device_generate_desktop_screenshot: authw <*> shield <*>,2
0c7af280,<*> : Starting AirDrop server for user <*> on wake,2
9464abfc,**** [IOBluetoothHostControllerUSBTransport][start] -- completed -- result = TRUE -- <*> ****,2
c158ae63,hibernate_flush_memory: buffer_cache_gc freed up <*> wired pages,2
c17f6d5d,INIT -- Host controller is published,2
82304b69,"Unable to simultaneously satisfy constraints: ( <*>   (Names: <*> 'NSView-Encapsulated-Layout-Width' <*>   (Names: <*>   (Names: <*> )  Will attempt to recover by breaking constraint <*>  Set the NSUserDefault NSConstraintBasedLayoutVisualizeMutuallyExclusiveConstraints to YES to have -[NSWindow visualizeConstraints:] automatically called when this happens.  And/or, break on objc_exception_throw to catch this in the debugger.",2
93ccf765,hibernate_setup(0) took <*> ms,2
92895114,"ARPT: <*> IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': <*>",2
87c0c275,Unrecognized XSSimpleTypeDefinition: OneOff,2
c90ffe49,"Configuration Notice: ASL Module ""com.apple.performance"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.",2
899143a3,"Opened file /var/log/SleepWakeStacks.bin, size <*> extents <*> maxio <*> ssd <*>",2
8a5eff29,"CCDataTap::profileRemoved, Owner: <*> Name: StateSnapshots",2
23320c25,[BluetoothHIDDeviceController] EventServiceConnectedCallback,2
c35492ee,efi pagecount <*>,2
37c8aee1,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",2
4279d8f0,<*> : Discoverable mode changed to Off,2
8e8e3fbe,<*> : BTLE scanning started,2
8efa77b8,WARNING: hibernate_page_list_setall skipped <*> xpmapped pages,2
9e54d618,device_generate_lock_screen_screenshot: authw <*> shield <*> dev <*>,2
dc3856c1,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,2
04bb0c62,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- calling IOBluetoothFamily's registerService() -- <*> -- <*> -- <*> ****,2
e194959f,<*>,2
f2b041a7,hibernate_teardown_pmap_structs done: last_valid_compact_indx <*>,2
4b8095ea,en0: Supported channels <*>,2
0581bc42,network changed: <*> DNS- Proxy-,2
b2490040,Failed to connect (titleField) outlet from (MMSessionPickerChoosenRowView) to (NSTextField): missing setter or instance variable,2
ee8ee29b,CCXPCService::setStreamEventHandler Registered for notification callback.,2
b2a94231,hibernate image path: /var/vm/sleepimage,2
51488d9d,ARPT: <*> ARPT: Wake Reason: Wake on TCP Timeout,2
f6b506b5,Unable to start NetBIOS name service:,2
47bce755,<IMMacNotificationCenterManager: <*>   DND Enabled: YES,2
3098c1cb,"[Accounts] Failed to update account with identifier <*> error: Error Domain=ABAddressBookErrorDomain <*> ""(null)""",2
164db6d5,hibernate_machine_init reading,2
a6bd52ec,bitmap_size <*> previewSize <*> writing <*> pages @ <*>,2
01e7355d,Wake reason: ?,2
5c868c23,"<*> -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'com.google.Keystone'.",2
c535438a,<*> : Purged contact hashes,2
62a029a2,[BluetoothHIDDeviceController]ERROR: Could not find the disconnected object,2
bbfca46f,en0: Supported channels <*>,2
6802d2e8,Unexpected payload found for message <*> dataLen <*>,2
a041eae4,AppleActuatorHIDEventDriver: stop,2
de7860f0,"hibernate_newruntime_map time: <*> ms, IOPolledFilePollersOpen(), ml_get_interrupts_enabled <*>",2
08b5f84e,RTC: Maintenance <*> sleep <*>,2
3e4f8a1b,pages <*> wire <*> act <*> inact <*> cleaned <*> spec <*> zf <*> throt <*> compr <*> xpmapped <*>,2
a173e4a3,<*> KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.,2
bf6f5aee,<*> dealloc,1
b212c983,device_generate_desktop_screenshot: authw <*> shield <*>,1
c4d6ff57,<*> dealloc,1
bb4d35de,CCFile::copyFile fileName is <*> source <*> dest <*>,1
c12475a9,tcp_connection_destination_handle_tls_close_notify <*> closing socket due to TLS CLOSE_NOTIFY alert,1
c26f8a37,AppleActuatorHIDEventDriver: message service is terminated,1
fce92548,AppleActuatorDevice::start Entered,1
b44aa1a7,"no application identifier provided, can't use provisioning profiles <*>",1
fdd3ac20,ARPT: <*> wlc_dump_aggfifo:,1
b8893af4,.sdef warning for argument '' of command 'can continue previous list' in suite 'Microsoft Word Suite': <*> is not a valid type name.,1
feb55f06,DB Path: <*>,1
b450ce8d,<*> -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: <*>,1
baac63ed,CCProfileMonitor::setStreamEventHandler,1
15e691e2,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- Connected to the transport successfully -- <*> -- <*> -- <*> ****,1
c12eb2d5,CCFile::copyFile fileName is <*> source <*> dest <*>,1
ffe2b390,ARPT: <*> wlc_dump_aggfifo:,1
0401486e,<*> dealloc,1
c1e28b40,"<*> -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for ""com.google.Keystone"" using engine <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> <*> isProcessing=NO <*> currentActionErrors=0 <*> actionQueue=( ) > delegate=(null) <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> <*> >",1
fef4db13,<<<< MediaValidator >>>> mv_LookupCodecSupport: Unrecognized codec <*>,1
b675a04b,CCFile::copyFile fileName is <*> source <*> dest <*>,1
1063f8d7,Sandbox: <*> file-read-data /private/etc/hosts,1
135dfb40,tcp_connection_tls_session_error_callback_imp <*> error <*>,1
12f6645c,CCFile::copyFile fileName is <*> source <*> dest <*>,1
118b2bf7,WARNING: <*> font data isn't in the correct format required by the Adobe Type <*> Font Format specification.,1
bda6f598,hibernate_page_list_setall time: <*> ms,1
f4da48e8,"booter start at <*> ms smc <*> ms, <*> total <*> ms, dsply <*> ms, tramp <*> ms",1
1006c11b,<*>,1
07b15a23,CCFile::copyFile fileName is <*> source <*> dest <*>,1
0a237d9d,PM response took <*> ms <*> WeChat),1
de2b6b15,<*> dealloc,1
dedd4866,host connection <NSXPCConnection: <*> connection from pid <*> invalidated,1
09137032,<*> dealloc,1
df811d53,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,1
e005e149,CCFile::copyFile fileName is <*> source <*> dest <*>,1
e0a369be,<*> main() ksfetch done fetching.,1
e14bee0f,RTC: Maintenance <*> sleep <*>,1
e218fc50,Wake reason: EC.SleepTimer (SleepTimer),1
e2f209de,pages <*> wire <*> act <*> inact <*> cleaned <*> spec <*> zf <*> throt <*> compr <*> xpmapped <*>,1
e38c8417,<*> -[KSMultiUpdateAction performAction] KSPromptAction had no updates to apply.,1
f81e9894,Host controller terminated,1
f79959b4,after trim url = <*>,1
0fb8908d,<*> -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher start fetch from URL: <*>,1
e49d1682,<*> dealloc,1
e5d5eae1,en0: manual intervention required!,1
076ba0da,<*> : Finished generating hashes,1
e8fc3aab,Central manager is not powered on,1
e94c49ec,<*> -[KSAgentApp(KeystoneDelegate) updateEngineFinishedWithErrors:] Keystone finished: <*>,1
06979a2a,<*> -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: <*>,1
05ec6822,[com.apple.calendar.store.log.caldav.queue] [Account <*> timed out when executing operation: <CalDAVAccountRefreshQueueableOperation: <*> Sequence: <*>,1
ea97c760,Sandbox: <*> mach-lookup com.apple.networkd,1
ee007fa5,button report: <*>,1
ef25fa86,pages <*> wire <*> act <*> inact <*> cleaned <*> spec <*> zf <*> throt <*> compr <*> xpmapped <*>,1
f0a83c7f,<*> dealloc,1
04f2c3ab,"Opened file /var/vm/sleepimage, size <*> extents <*> maxio <*> ssd <*>",1
dce510e0,<*> dealloc,1
dcc716ee,ARPT: <*> wlc_dump_aggfifo:,1
fa54ebbe,enabling <*> for plug-in <*> /System/Library/CoreServices/Weather.app/Contents/PlugIns/com.apple.ncplugin.weather.appex,1
fab80546,hibernate_teardown: wired_pages <*> free_pages <*> active_pages <*> inactive_pages <*> speculative_pages <*> cleaned_pages <*> compressor_pages <*>,1
fbb61ab3,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller <*> Error Domain=NSURLErrorDomain <*> ""The Internet connection appears to be offline."" <*> {Error Domain=kCFErrorDomainCFNetwork <*> ""The Internet connection appears to be offline."" <*> NSLocalizedDescription=The Internet connection appears to be offline.}}, <*> _kCFStreamErrorCodeKey=8, NSLocalizedDescription=The Internet connection appears to be offline.}",1
c6954816,RTC: Maintenance <*> sleep <*>,1
c6e30026,ARPT: <*> wlc_dump_aggfifo:,1
c7f74830,"ARPT: <*> IOPMPowerSource Information: onSleep,  SleepType: Standby,  'ExternalConnected': No, 'TimeRemaining': <*>",1
0f5aaf01,"<*> -[KSAgentApp performSelfUpdateWithEngine:] Checking for self update with Engine: <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> <*> isProcessing=NO <*> currentActionErrors=0 <*> actionQueue=( ) > delegate=(null) <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> <*> >",1
0f38c9e7,<*> dealloc,1
ca80ef4b,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller <*> Error Domain=NSURLErrorDomain <*> ""The request timed out."" <*> {Error Domain=kCFErrorDomainCFNetwork <*> ""The request timed out."" <*> _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, <*> _kCFStreamErrorDomainKey=4, <*> NSLocalizedDescription=The request timed out.}",1
f356f9c1,hibernate_rebuild started,1
cb8cb5d1,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: <*> Network is unreachable,1
cc394499,hibernate_rebuild completed - took <*> msecs,1
0b27452f,CoreAnimation: timed out fence <*>,1
ce18263c,IOPolledFilePollersOpen(0) <*> ms,1
cf2ccffd,handle_will_sleep_auth_and_shield_windows: Reordering authw <*> (lock state: <*>,1
cf35782f,"Unable to simultaneously satisfy constraints: ( <*> h=-&- v=-&- <*>   (Names: <*> h=-&- v=-&- <*>   (Names: <*> h=-&- v=--& <*> h=-&- v=-&- <*>   (Names: <*> h=-&- v=-&- <*>   (Names: <*> )>"" )  Will attempt to recover by breaking constraint <*> h=-&- v=-&- <*>   (Names: <*> )>  Set the NSUserDefault NSConstraintBasedLayoutVisualizeMutuallyExclusiveConstraints to YES to have -[NSWindow visualizeConstraints:] automatically called when this happens.  And/or, break on objc_exception_throw to catch this in the debugger.",1
d2bf540c,"VDCAssistant:  Found a camera <*> , but was not able to start it up <*> -- (os/kern) successful)",1
d5dfa319,<*> dealloc,1
d6bcf554,<*> -[KSUpdateCheckAction performAction] KSUpdateCheckAction starting update check for ticket(s): {( <*> productID=com.google.Keystone <*> path=/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle> <*> > )} Using server: <*> >,1
b1e764c1,<*> Class TSUCustomFormatData is implemented in both /Library/QuickLook/iWork.qlgenerator/Contents/MacOS/iWork and /System/Library/PrivateFrameworks/OfficeImport.framework/Versions/A/OfficeImport. One of the two will be used. Which one is undefined.,1
0afb80df,the url = <*>,1
d936b6d4,Arranged view frame: <*>,1
0a6d6548,<*> -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: <*>,1
d9fb4ec2,hostControllerOnline - Number of Paired devices = <*> List of Paired devices = ( <*> ),1
da7ac207,[IOBluetoothHostController::setConfigState] calling registerService,1
db8fe793,Failed to stop a scan - central is not powered on: <*>,1
dc30adf1,Session <*> created,1
d7810eb2,AppleActuatorDeviceUserClient::stop Entered,1
39637cc2,RTC: Maintenance <*> sleep <*>,1
b1d02dee,url host = www.baidu.com,1
617d6b14,<*> dealloc,1
571fe9ec,"hibernate_machine_init pagesDone <*> time: <*> ms, <*> Mb/s, comp bytes: <*> time: <*> ms <*> Mb/s, crypt bytes: <*> time: <*> ms <*> Mb/s",1
5722d0e3,CCProfileMonitor::freeResources done,1
58631be9,vm_compressor_fastwake_warmup <*> - <*> - starting,1
5a5f25d8,extension com.apple.ncplugin.WorldClock -> (null),1
5ba1fe73,[HID] [MT] AppleMultitouchDevice::start entered,1
2f2aac06,"hibernate_machine_init pagesDone <*> time: <*> ms, <*> Mb/s, comp bytes: <*> time: <*> ms <*> Mb/s, crypt bytes: <*> time: <*> ms <*> Mb/s",1
5ea94f50,ARPT: <*> wlc_dump_aggfifo:,1
5ede7912,no sleep images for WillPowerOffWithImages,1
5f2ed233,hibernate_alloc_pages act <*> inact <*> anon <*> throt <*> spec <*> wire <*> wireinit <*>,1
5f6d7f98,<*> Class TSUAtomicLRUCache is implemented in both /Library/QuickLook/iWork.qlgenerator/Contents/MacOS/iWork and /System/Library/PrivateFrameworks/OfficeImport.framework/Versions/A/OfficeImport. One of the two will be used. Which one is undefined.,1
5fed01c8,<*> <<<< CRABS >>>> crabsWaitForLoad: <*> Wait time out - <*> (msRequestTimeout <*>,1
2f201f0e,<*> dealloc,1
61b6e6aa,Sandbox: <*> ipc-posix-shm-read-data <*>,1
306d9f84,hibernate_alloc_pages act <*> inact <*> anon <*> throt <*> spec <*> wire <*> wireinit <*>,1
2e9edc3a,<IMMacNotificationCenterManager: <*> notification observer: com.apple.FaceTime   notification: __CFNotification <*> {name = _NSDoNotDisturbEnabledNotification},1
63464d45,Error in CoreDragRemoveTrackingHandler: <*>,1
65e50fe9,did discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,1
662270aa,network changed: <*> DNS+ Proxy+ SMB,1
681abeff,Invalidating watch set.,1
68e42f4b,<*> dealloc,1
2e7a9140,<*> Asked to exit for Diskarb,1
6b8dcc2e,schedule invalidation <DYTransport <*> error: lost transport connection <*>,1
71b9734e,Got an XPC error: Connection invalid,1
7209f520,"nw_path_evaluator_start_helper_connection net_helper_path_evaluation_start failed, dumping backtrace: <*>   libsystem_network.dylib             <*> __nw_create_backtrace_string + <*>   libsystem_network.dylib             <*> nw_path_evaluator_start_helper_connection + <*>   libdispatch.dylib                   <*> _dispatch_call_block_and_release + <*>   libdispatch.dylib                   <*> _dispatch_client_callout + <*>   libdispatch.dylib                   <*> _dispatch_queue_drain + <*>   libdispatch.dylib                   <*> _dispatch_queue_invoke + <*>   libdispatch.dylib                   <*> _dispatch_root_queue_drain + <*>   libdispatch.dylib                   <*> + <*>   libsystem_pthread.dylib             <*> _pthread_wqthread + <*>   libsystem_pthread.dylib             <*> start_wqthread + <*>",1
739ff9d6,full wake request (reason <*> ms,1
743ea632,AppleActuatorDevice::stop Entered,1
571f2aee,<*> -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] About to run checks for any other apps.,1
