Month,Date,Time,Level,Component,PID,Content
Jun,30,20:53:06,combo,klogind,19277,Kerberos authentication failed
Jun,30,20:53:06,combo,klogind,19279,Kerberos authentication failed
Jun,30,20:53:06,combo,klogind,19280,Kerberos authentication failed
Jun,30,20:53:06,combo,klogind,19281,Kerberos authentication failed
Jun,30,20:53:06,combo,klogind,19282,Kerberos authentication failed
Jun,30,20:53:06,combo,klogind,19283,Kerberos authentication failed
Jun,30,20:53:06,combo,klogind,19285,Kerberos authentication failed
Jun,30,20:53:06,combo,klogind,19284,Kerberos authentication failed
Jul,1,07:57:30,combo,ftpd,21952,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21951,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21957,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21953,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21954,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21955,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21950,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21956,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21958,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21945,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21959,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21940,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21941,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21946,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21937,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21943,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21944,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21948,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21947,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21942,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21938,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21949,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,1,07:57:30,combo,ftpd,21939,connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005
Jul,3,04:07:49,combo,cups,,cupsd shutdown succeeded
Jul,3,04:07:55,combo,cups,,cupsd startup succeeded
Jul,3,04:08:03,combo,syslogd 1.4.1,,restart.
Jul,3,10:05:25,combo,ftpd,32069,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32067,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32070,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32053,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32066,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32068,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32065,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32062,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32063,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32059,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32060,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32071,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32051,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32057,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32050,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32056,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32058,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32052,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32061,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32055,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32064,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32054,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,10:05:25,combo,ftpd,32049,connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005
Jul,3,23:16:09,combo,ftpd,768,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,772,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,769,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,767,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,765,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,766,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,770,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,764,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,757,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,763,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,758,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,761,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,762,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,759,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,756,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,773,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,760,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,774,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,775,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,771,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,776,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,777,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,3,23:16:09,combo,ftpd,778,connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005
Jul,4,12:52:44,combo,ftpd,2839,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2838,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2841,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2840,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2831,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2829,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2835,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2828,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2832,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2830,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2837,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2833,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2834,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2836,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2824,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2822,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2821,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2827,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2823,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2825,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2842,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2826,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,4,12:52:44,combo,ftpd,2843,connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005
Jul,5,13:52:21,combo,ftpd,6590,connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005
Jul,5,13:52:21,combo,ftpd,6582,connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005
Jul,5,13:52:21,combo,ftpd,6580,connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005
Jul,5,13:52:21,combo,ftpd,6589,connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005
Jul,5,13:52:21,combo,ftpd,6586,connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005
Jul,5,13:52:21,combo,ftpd,6591,connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005
Jul,5,13:52:21,combo,ftpd,6587,connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005
Jul,5,13:52:21,combo,ftpd,6583,connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005
Jul,5,13:52:21,combo,ftpd,6588,connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005
Jul,5,13:52:21,combo,ftpd,6581,connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005
Jul,5,13:52:21,combo,ftpd,6585,connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005
Jul,5,13:52:21,combo,ftpd,6592,connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005
Jul,5,13:52:21,combo,ftpd,6584,connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005
Jul,5,13:52:23,combo,ftpd,6593,connection from 211.72.2.106 () at Tue Jul  5 13:52:23 2005
Jul,5,13:52:23,combo,ftpd,6595,connection from 211.72.2.106 () at Tue Jul  5 13:52:23 2005
Jul,5,13:52:23,combo,ftpd,6594,connection from 211.72.2.106 () at Tue Jul  5 13:52:23 2005
Jul,5,13:52:23,combo,ftpd,6596,connection from 211.72.2.106 () at Tue Jul  5 13:52:23 2005
Jul,5,13:52:23,combo,ftpd,6597,connection from 211.72.2.106 () at Tue Jul  5 13:52:23 2005
Jul,5,13:52:23,combo,ftpd,6598,connection from 211.72.2.106 () at Tue Jul  5 13:52:23 2005
Jul,5,13:52:23,combo,ftpd,6600,connection from 211.72.2.106 () at Tue Jul  5 13:52:23 2005
Jul,5,13:52:23,combo,ftpd,6601,connection from 211.72.2.106 () at Tue Jul  5 13:52:23 2005
Jul,5,13:52:23,combo,ftpd,6602,connection from 211.72.2.106 () at Tue Jul  5 13:52:23 2005
Jul,5,13:52:23,combo,ftpd,6599,connection from 211.72.2.106 () at Tue Jul  5 13:52:23 2005
Jul,6,18:00:56,combo,ftpd,9772,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9773,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9777,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9774,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9775,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9769,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9776,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9771,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9770,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9765,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9764,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9757,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9766,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9758,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9759,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9760,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9761,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9762,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9767,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9763,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:56,combo,ftpd,9768,connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005
Jul,6,18:00:57,combo,ftpd,9778,connection from 211.72.151.162 () at Wed Jul  6 18:00:57 2005
Jul,6,18:00:57,combo,ftpd,9779,connection from 211.72.151.162 () at Wed Jul  6 18:00:57 2005
Jul,7,08:06:12,combo,gpm,2094,*** info [mice.c(1766)]:
Jul,7,08:06:12,combo,gpm,2094,imps2: Auto-detected intellimouse PS/2
Jul,7,08:06:15,combo,-- root,2421,ROOT LOGIN ON tty2
Jul,7,08:09:11,combo,udev,12754,removing device node '/udev/vcsa2'
Jul,7,08:09:11,combo,udev,12777,creating device node '/udev/vcs2'
Jul,7,16:33:52,combo,ftpd,13521,connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005
Jul,7,16:33:52,combo,ftpd,13513,connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005
Jul,7,16:33:52,combo,ftpd,13511,connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005
Jul,7,16:33:52,combo,ftpd,13512,connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005
Jul,7,16:33:52,combo,ftpd,13516,connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005
Jul,7,16:33:52,combo,ftpd,13515,connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005
Jul,7,16:33:52,combo,ftpd,13518,connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005
Jul,7,16:33:52,combo,ftpd,13522,connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005
Jul,7,16:33:52,combo,ftpd,13517,connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005
Jul,7,16:33:52,combo,ftpd,13520,connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005
Jul,7,16:33:52,combo,ftpd,13519,connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005
Jul,7,16:33:52,combo,ftpd,13514,connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005
Jul,7,23:09:45,combo,ftpd,14105,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14106,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14103,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14107,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14104,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14108,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14109,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14110,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14111,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14112,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14113,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14114,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14115,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14116,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14118,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14119,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:45,combo,ftpd,14117,connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005
Jul,7,23:09:47,combo,ftpd,14120,connection from 221.4.102.93 () at Thu Jul  7 23:09:47 2005
Jul,7,23:09:50,combo,ftpd,14121,connection from 221.4.102.93 () at Thu Jul  7 23:09:50 2005
Jul,9,11:35:59,combo,ftpd,23028,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23027,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23026,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23032,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23030,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23031,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23035,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23038,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23037,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23029,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23036,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23046,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23048,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23045,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23043,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23040,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23044,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23039,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23041,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
Jul,9,11:35:59,combo,ftpd,23047,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005
