LogId,Node,Component,State,Time,Flag,Content,EventId
284353,node-23,node,status,1080145602,1,running,75101dcd
284195,full,partition,status,1080133799,1,running,75101dcd
277540,node-119,node,status,1079618410,0,running,75101dcd
277540,node-119,node,status,1079618410,0,running,75101dcd
277545,node-124,node,status,1079618410,0,running,75101dcd
300968,full,partition,status,1081932726,1,running,75101dcd
310009,node-13,node,status,1082040658,1,running,75101dcd
329774,node-235,node,status,1083207608,0,running,75101dcd
329596,node-57,node,status,1083207607,1,running,75101dcd
316706,node-90,node,status,1082894753,1,running,75101dcd
340207,node-245,node,status,1083317700,0,running,75101dcd
329646,node-107,node,status,1083207607,0,running,75101dcd
340120,node-158,node,status,1083317700,0,running,75101dcd
340209,node-247,node,status,1083317700,0,running,75101dcd
366141,node-95,node,status,1085078720,1,running,75101dcd
366113,node-67,node,status,1085078720,1,running,75101dcd
371329,full,partition,status,1085797473,1,running,75101dcd
370250,full,partition,status,1085689890,1,blocked,61326117
369970,full,partition,status,1085682780,1,blocked,61326117
369300,node-79,node,status,1085569402,1,running,75101dcd
369186,node-168,node,status,1085568282,0,running,75101dcd
379999,node-231,node,status,1086028827,0,running,75101dcd
379995,node-227,node,status,1086028827,0,running,75101dcd
379993,node-225,node,status,1086028827,0,running,75101dcd
379872,node-103,node,status,1086028827,0,running,75101dcd
379859,node-90,node,status,1086028826,1,running,75101dcd
371602,node--tc6,tserver,status,1085921002,1,not-responding,252f035f
379912,node-144,node,status,1086028827,0,running,75101dcd
386689,full,partition,status,1087478923,1,running,75101dcd
386783,node-224,node,status,1087499940,1,active,c76a5e84
392804,node-41,node,status,1088023736,0,running,75101dcd
392696,node-126,node,status,1088023734,0,running,75101dcd
392653,node-51,node,status,1088023733,1,running,75101dcd
392736,node-198,node,status,1088023734,0,running,75101dcd
392729,node-159,node,status,1088023734,0,running,75101dcd
392693,node-123,node,status,1088023734,0,running,75101dcd
398501,node-235,node,status,1089811825,1,running,75101dcd
410509,node-221,node,status,1091255504,1,running,75101dcd
413605,node-154,node,status,1092321126,1,running,75101dcd
413350,node-41,node,status,1092320602,1,running,75101dcd
416005,full,partition,status,1092949734,1,running,75101dcd
418211,node-D0,domain,status,1093628640,1,inconsistent nodesets node-1 0x000001fc <ok> node-2 0x000001fc <ok> node-7 0x000001fc <ok> node-4 0x000001fc <ok> node-6 0x000001fc <ok> node-5 0x000001fc <ok> node-3 0x000001fc <ok> node-14 0x0003fdfc <ok> node-13 0x0003fdfc <ok> node-12 0x0003fdfc <ok> node-10 0x0003fdfc <ok> node-16 0x0003fdfc <ok> node-15 0x0003fdfc <ok>,13856549
417113,full,partition,status,1093473150,1,blocked,61326117
421363,full,partition,status,1094571984,1,running,75101dcd
421349,node-18,node,status,1094571950,1,running,75101dcd
432939,node-254,node,status,1095349520,0,running,75101dcd
425174,node-109,node,status,1095341304,1,running,75101dcd
425071,node-174,node,status,1095341277,1,active,c76a5e84
432838,node-153,node,status,1095349520,0,running,75101dcd
432843,node-158,node,status,1095349520,1,running,75101dcd
448690,node-48,node,status,1098394861,1,running,75101dcd
449708,full,partition,status,1098490050,1,blocked,61326117
453178,full,partition,status,1098987334,1,running,75101dcd
448744,node-102,node,status,1098394861,0,running,75101dcd
24011,node-77,node,status,1100788549,1,running,75101dcd
24024,node-90,node,status,1100788549,1,running,75101dcd
24139,node-205,node,status,1100788549,0,running,75101dcd
30351,full,partition,status,1102218393,1,running,75101dcd
24181,node-247,node,status,1100788549,1,running,75101dcd
32980,node-26,node,status,1102476182,1,running,75101dcd
41359,full,partition,status,1104950640,1,blocked,61326117
56392,node-224,node,status,1107904598,1,running,75101dcd
73494,node-29,node,status,1108652943,1,running,75101dcd
73690,node-165,node,status,1108653007,1,running,75101dcd
77384,node-233,node,status,1108744158,1,running,75101dcd
84322,full,partition,status,1109007900,1,blocked,61326117
97235,full,partition,status,1110138244,1,running,75101dcd
117663,node-151,node,status,1111074926,0,running,75101dcd
117632,node-120,node,status,1111074926,0,running,75101dcd
117588,node-76,node,status,1111074926,1,running,75101dcd
117564,node-52,node,status,1111074926,1,running,75101dcd
138134,node-73,node,status,1111869296,1,running,75101dcd
117751,node-239,node,status,1111074926,1,running,75101dcd
117724,node-212,node,status,1111074926,1,running,75101dcd
141504,node-104,node,status,1112420952,1,running,75101dcd
140900,node-239,node,status,1112389915,0,running,75101dcd
140676,full,partition,status,1112346856,1,starting,1ee85f6c
169348,node-35,node,status,1114098974,1,running,75101dcd
216915,node-113,node,status,1116619994,1,running,75101dcd
216956,node-154,node,status,1116619994,1,running,75101dcd
277298,full,partition,status,1120076193,1,running,75101dcd
284996,node-191,node,status,1120682568,1,running,75101dcd
284668,full,partition,status,1120680810,1,blocked,61326117
846,node-95,node,status,1123709833,1,running,75101dcd
923,node-172,node,status,1123709833,1,running,75101dcd
1004,node-253,node,status,1123709833,1,running,75101dcd
14730,node-172,node,status,1124378018,1,running,75101dcd
26628,full,partition,status,1124999460,1,blocked,61326117
46680,node-126,node,status,1126168979,1,running,75101dcd
46615,node-181,node,status,1126168951,1,running,75101dcd
56225,node-74,node,status,1126814969,1,running,75101dcd
58843,full,partition,status,1126818053,1,closing,3b38bec1
56256,node-105,node,status,1126814969,0,running,75101dcd
56261,node-110,node,status,1126814969,0,running,75101dcd
56327,node-175,node,status,1126814970,0,running,75101dcd
89931,full,partition,status,1128014704,1,running,75101dcd
98836,node-83,node,status,1128237754,1,running,75101dcd
56298,node-146,node,status,1126814970,0,running,75101dcd
56335,node-183,node,status,1126814970,0,running,75101dcd
56329,node-177,node,status,1126814970,0,running,75101dcd
56404,node-254,node,status,1126814970,0,running,75101dcd
116947,node-202,node,status,1128899526,1,running,75101dcd
56349,node-198,node,status,1126814970,1,running,75101dcd
168084,full,partition,status,1131032850,1,blocked,61326117
197110,node-253,node,status,1131247704,1,running,75101dcd
205095,full,partition,status,1131530296,1,running,75101dcd
204732,node-44,node,status,1131527920,1,active,c76a5e84
260401,full,partition,status,1133290901,1,running,75101dcd
46105,full,partition,status,1126164412,-1,running,75101dcd
274783,full,partition,status,1133702160,1,blocked,61326117
285000,node-11,node,status,1134656644,1,running,75101dcd
290042,node-183,node,status,1134672259,1,running,75101dcd
289977,node-127,node,status,1134672205,0,running,75101dcd
309872,full,partition,status,1135802130,1,blocked,61326117
378400,node-232,node,status,1141679919,0,running,75101dcd
378260,node-92,node,status,1141679919,1,running,75101dcd
378195,node-27,node,status,1141679919,1,running,75101dcd
401242,node-145,node,status,1142533309,0,running,75101dcd
401248,node-151,node,status,1142533309,0,running,75101dcd
401202,node-104,node,status,1142533309,0,running,75101dcd
415345,node-D0,domain,status,1142942280,1,inconsistent nodesets node-31 0x1fffffffe <ok> node-0 0xfffffffe <ok> node-1 0xfffffffe <ok> node-2 0xfffffffe <ok> node-30 0xfffffffe <ok>,86d6833d
401232,node-135,node,status,1142533309,1,running,75101dcd
454307,full,partition,status,1145174910,1,blocked,61326117
451133,node-130,node,status,1144858896,1,running,75101dcd
463655,node-135,node,status,1145554526,0,running,75101dcd
463680,node-160,node,status,1145554526,0,running,75101dcd
463769,node-249,node,status,1145554526,0,running,75101dcd
463684,node-164,node,status,1145554526,0,running,75101dcd
2559971,gige7,gige,temperature,1073151998,1,normal,fea08751
2552510,gige7,gige,temperature,1072553474,1,normal,fea08751
2556843,gige5,gige,temperature,1072878243,1,warning,7b83d3f0
2555058,gige7,gige,temperature,1072734978,1,normal,fea08751
2554674,gige7,gige,temperature,1072671675,1,normal,fea08751
2554666,gige5,gige,temperature,1072670036,1,warning,7b83d3f0
2552992,node-212,node,temperature,1072633140,1,ambient=30,92f0ab0d
2563073,gige7,gige,temperature,1073610711,1,normal,fea08751
2562762,node-232,node,temperature,1073579610,1,ambient=30,92f0ab0d
2562656,gige7,gige,temperature,1073561505,1,normal,fea08751
2561340,gige7,gige,temperature,1073394404,1,normal,fea08751
2561239,gige4,gige,temperature,1073375350,1,critical,7e85bcb6
2566893,gige7,gige,temperature,1074020818,1,normal,fea08751
2565183,gige7,gige,temperature,1073933218,1,normal,fea08751
2585341,gige7,gige,temperature,1074234092,1,critical,7e85bcb6
2615431,gige7,gige,temperature,1074848953,1,normal,fea08751
2614737,node-166,node,temperature,1074776943,1,ambient=31,92f0ab0d
2614640,gige7,gige,temperature,1074755051,1,normal,fea08751
2613815,gige5,gige,temperature,1074625028,1,normal,fea08751
2594414,node-239,node,temperature,1074274436,1,ambient=30,92f0ab0d
2594419,node-235,node,temperature,1074274436,1,ambient=29,92f0ab0d
19801,gige7,gige,temperature,1076047551,1,normal,fea08751
40754,node-172,node,temperature,1076538724,1,ambient=26,92f0ab0d
35006,node-238,node,temperature,1076506869,1,ambient=30,92f0ab0d
34905,gige7,gige,temperature,1076493252,1,warning,7b83d3f0
31923,gige4,gige,temperature,1076386562,1,critical,7e85bcb6
31128,gige7,gige,temperature,1076272557,1,normal,fea08751
46581,node-117,node,temperature,1076546891,1,ambient=32,92f0ab0d
48065,node-41,node,temperature,1076619404,1,ambient=29,92f0ab0d
48312,gige7,gige,temperature,1076650230,1,normal,fea08751
80683,node-198,node,temperature,1077307801,1,ambient=33,92f0ab0d
80531,node-174,node,temperature,1077300930,1,ambient=28,92f0ab0d
77270,node-166,node,temperature,1077215565,1,ambient=31,92f0ab0d
76723,node-55,node,temperature,1077205904,1,ambient=33,92f0ab0d
74418,gige7,gige,temperature,1077159058,1,normal,fea08751
69858,gige7,gige,temperature,1077042957,1,warning,7b83d3f0
69672,gige7,gige,temperature,1077015055,1,warning,7b83d3f0
69378,gige7,gige,temperature,1076961352,1,warning,7b83d3f0
61851,node-60,node,temperature,1076866153,1,ambient=31,92f0ab0d
86744,gige7,gige,temperature,1077371471,1,warning,7b83d3f0
87515,gige7,gige,temperature,1077440772,1,normal,fea08751
94825,node-45,node,temperature,1077647048,1,ambient=30,92f0ab0d
90542,node-157,node,temperature,1077630300,1,ambient=30,92f0ab0d
88946,gige7,gige,temperature,1077576377,1,normal,fea08751
88671,node-148,node,temperature,1077556261,1,ambient=31,92f0ab0d
87831,gige2,gige,temperature,1077480553,1,warning,7b83d3f0
87693,gige4,gige,temperature,1077462433,1,warning,7b83d3f0
198942,gige5,gige,temperature,1078030594,1,normal,fea08751
225213,gige7,gige,temperature,1078547960,1,warning,7b83d3f0
225104,gige7,gige,temperature,1078536860,1,normal,fea08751
224786,node-158,node,temperature,1078514733,1,ambient=31,92f0ab0d
224581,gige7,gige,temperature,1078508057,1,warning,7b83d3f0
217618,node-20,node,temperature,1078468448,1,ambient=26,92f0ab0d
217370,node-54,node,temperature,1078468284,1,ambient=31,92f0ab0d
206594,gige7,gige,temperature,1078407820,1,normal,fea08751
204767,gige7,gige,temperature,1078361621,1,warning,7b83d3f0
203383,gige6,gige,temperature,1078197816,1,normal,fea08751
201365,node-74,node,temperature,1078160650,1,ambient=29,92f0ab0d
199616,gige5,gige,temperature,1078110095,1,warning,7b83d3f0
199198,gige7,gige,temperature,1078057114,1,warning,7b83d3f0
261378,gige7,gige,temperature,1079210977,1,warning,7b83d3f0
239708,node-14,node,temperature,1079019604,1,ambient=27,92f0ab0d
234084,node-240,node,temperature,1079013507,1,ambient=30,92f0ab0d
229917,node-20,node,temperature,1078979550,1,ambient=26,92f0ab0d
227358,gige7,gige,temperature,1078816469,1,warning,7b83d3f0
226272,gige7,gige,temperature,1078672165,1,warning,7b83d3f0
285818,gige7,gige,temperature,1080291435,1,normal,fea08751
284101,gige7,gige,temperature,1080110219,1,warning,7b83d3f0
283501,gige6,gige,temperature,1080058332,1,normal,fea08751
289816,gige7,gige,temperature,1080845907,1,normal,fea08751
287985,gige7,gige,temperature,1080628083,1,normal,fea08751
287951,gige7,gige,temperature,1080622682,1,normal,fea08751
287022,gige7,gige,temperature,1080493066,1,warning,7b83d3f0
295921,gige7,gige,temperature,1081524579,1,warning,7b83d3f0
295528,gige7,gige,temperature,1081463375,1,normal,fea08751
301157,gige7,gige,temperature,1081959922,1,warning,7b83d3f0
300050,gige7,gige,temperature,1081830909,1,normal,fea08751
298512,gige7,gige,temperature,1081791006,1,normal,fea08751
297326,gige7,gige,temperature,1081684787,1,normal,fea08751
309472,node-30,node,temperature,1082039149,1,ambient=34,92f0ab0d
314590,gige7,gige,temperature,1082202403,1,warning,7b83d3f0
316541,gige7,gige,temperature,1082824335,1,warning,7b83d3f0
316533,gige7,gige,temperature,1082819535,1,normal,fea08751
316105,gige7,gige,temperature,1082742429,1,warning,7b83d3f0
315684,gige7,gige,temperature,1082629326,1,normal,fea08751
330049,gige7,gige,temperature,1083231744,1,warning,7b83d3f0
329889,node-217,node,temperature,1083208215,1,ambient=31,92f0ab0d
316991,gige7,gige,temperature,1083025647,1,normal,fea08751
340621,gige7,gige,temperature,1083424951,1,warning,7b83d3f0
342541,gige7,gige,temperature,1083973367,1,warning,7b83d3f0
342400,gige7,gige,temperature,1083930762,1,warning,7b83d3f0
342193,node-244,node,temperature,1083879601,1,ambient=32,92f0ab0d
341967,gige7,gige,temperature,1083844658,1,normal,fea08751
341924,node-237,node,temperature,1083831510,1,ambient=33,92f0ab0d
341629,gige7,gige,temperature,1083744155,1,warning,7b83d3f0
341358,gige7,gige,temperature,1083688955,1,warning,7b83d3f0
341168,gige7,gige,temperature,1083639753,1,warning,7b83d3f0
340799,gige7,gige,temperature,1083522751,1,warning,7b83d3f0
350670,node-240,node,temperature,1084653390,1,ambient=35,92f0ab0d
350386,node-234,node,temperature,1084631343,1,ambient=31,92f0ab0d
350295,node-239,node,temperature,1084629363,1,ambient=31,92f0ab0d
350242,node-108,node,temperature,1084626810,1,ambient=31,92f0ab0d
350134,node-109,node,temperature,1084621410,1,ambient=30,92f0ab0d
349094,node-111,node,temperature,1084529940,1,ambient=31,92f0ab0d
348979,node-112,node,temperature,1084518061,1,ambient=29,92f0ab0d
348683,gige7,gige,temperature,1084476183,1,warning,7b83d3f0
346095,gige7,gige,temperature,1084427882,1,normal,fea08751
346052,node-137,node,temperature,1084418581,1,ambient=26,92f0ab0d
346034,gige7,gige,temperature,1084413482,1,normal,fea08751
345974,gige6,gige,temperature,1084380782,1,warning,7b83d3f0
345944,gige6,gige,temperature,1084370883,1,normal,fea08751
345634,node-237,node,temperature,1084314360,1,ambient=33,92f0ab0d
367104,gige7,gige,temperature,1085206086,1,normal,fea08751
371489,node-237,node,temperature,1085883660,1,ambient=31,92f0ab0d
371437,gige7,gige,temperature,1085855902,1,warning,7b83d3f0
369384,gige4,gige,temperature,1085598845,1,critical,7e85bcb6
383080,node-239,node,temperature,1086491940,1,ambient=34,92f0ab0d
382894,node-238,node,temperature,1086438690,1,ambient=35,92f0ab0d
381787,node-111,node,temperature,1086206761,1,ambient=30,92f0ab0d
381569,gige4,gige,temperature,1086197563,1,warning,7b83d3f0
381210,node-166,node,temperature,1086194970,1,ambient=35,92f0ab0d
381139,node-16,node,temperature,1086194820,1,ambient=33,92f0ab0d
380887,node-247,node,temperature,1086178590,1,ambient=33,92f0ab0d
380233,gige7,gige,temperature,1086096701,1,normal,fea08751
376418,node-47,node,temperature,1086025702,1,ambient=30,92f0ab0d
376386,node-105,node,temperature,1086025689,1,ambient=28,92f0ab0d
375624,node-194,node,temperature,1086025505,1,ambient=27,92f0ab0d
374004,gige4,gige,temperature,1085997759,1,warning,7b83d3f0
372299,gige6,gige,temperature,1085939607,1,warning,7b83d3f0
385237,gige3,gige,temperature,1086927360,1,normal,fea08751
385089,gige3,gige,temperature,1086882060,1,normal,fea08751
384693,gige7,gige,temperature,1086805621,1,warning,7b83d3f0
384641,node-225,node,temperature,1086794700,1,ambient=32,92f0ab0d
384130,node-239,node,temperature,1086699270,1,ambient=31,92f0ab0d
383593,node-238,node,temperature,1086602640,1,ambient=35,92f0ab0d
383318,node-108,node,temperature,1086543570,1,ambient=32,92f0ab0d
386596,node-20,node,temperature,1087478914,1,ambient=28,92f0ab0d
386775,gige7,gige,temperature,1087499233,1,warning,7b83d3f0
387324,node-225,node,temperature,1087501911,1,ambient=30,92f0ab0d
391092,gige7,gige,temperature,1087643842,1,normal,fea08751
391300,gige6,gige,temperature,1087728445,1,warning,7b83d3f0
393242,gige7,gige,temperature,1088265456,1,normal,fea08751
392859,gige7,gige,temperature,1088038353,1,normal,fea08751
392847,gige7,gige,temperature,1088034153,1,normal,fea08751
391811,gige7,gige,temperature,1087867648,1,normal,fea08751
391646,node-234,node,temperature,1087853310,1,ambient=31,92f0ab0d
395148,gige7,gige,temperature,1088937476,1,normal,fea08751
394089,node-188,node,temperature,1088608620,1,ambient=31,92f0ab0d
393440,gige7,gige,temperature,1088371359,1,warning,7b83d3f0
396477,gige7,gige,temperature,1089388091,1,normal,fea08751
395945,gige5,gige,temperature,1089210393,1,warning,7b83d3f0
395216,gige5,gige,temperature,1088965285,1,warning,7b83d3f0
395178,gige6,gige,temperature,1088948576,1,warning,7b83d3f0
407464,gige7,gige,temperature,1090176813,1,warning,7b83d3f0
409366,node-212,node,temperature,1091251446,1,ambient=29,92f0ab0d
409190,gige7,gige,temperature,1091231048,1,warning,7b83d3f0
409063,gige6,gige,temperature,1091154558,1,normal,fea08751
408905,gige7,gige,temperature,1091074742,1,warning,7b83d3f0
408669,gige6,gige,temperature,1090924449,1,warning,7b83d3f0
411736,gige7,gige,temperature,1091851474,1,normal,fea08751
410909,gige7,gige,temperature,1091423054,1,normal,fea08751
415132,gige7,gige,temperature,1092507298,1,warning,7b83d3f0
416347,gige6,gige,temperature,1093125020,1,normal,fea08751
416032,gige7,gige,temperature,1092958814,1,warning,7b83d3f0
415725,gige7,gige,temperature,1092870612,1,normal,fea08751
415585,gige7,gige,temperature,1092794408,1,normal,fea08751
415440,gige7,gige,temperature,1092718806,1,normal,fea08751
415407,gige7,gige,temperature,1092699905,1,warning,7b83d3f0
415297,gige7,gige,temperature,1092632401,1,warning,7b83d3f0
415274,gige7,gige,temperature,1092610501,1,normal,fea08751
417446,gige7,gige,temperature,1093560329,1,normal,fea08751
417398,gige7,gige,temperature,1093553730,1,warning,7b83d3f0
417284,gige7,gige,temperature,1093529428,1,warning,7b83d3f0
419465,gige7,gige,temperature,1093902333,1,warning,7b83d3f0
419403,gige7,gige,temperature,1093856733,1,warning,7b83d3f0
422863,node-11,node,temperature,1094755801,1,ambient=29,92f0ab0d
421827,gige7,gige,temperature,1094640341,1,normal,fea08751
420523,gige7,gige,temperature,1094479239,1,normal,fea08751
431406,node-108,node,temperature,1095349170,1,ambient=30,92f0ab0d
429727,node-153,node,temperature,1095347103,1,ambient=30,92f0ab0d
425381,node-154,node,temperature,1095341774,1,ambient=33,92f0ab0d
433158,node-132,node,temperature,1095352261,1,ambient=32,92f0ab0d
433405,gige7,gige,temperature,1095412800,1,normal,fea08751
433626,node-167,node,temperature,1095486301,1,ambient=27,92f0ab0d
433841,gige7,gige,temperature,1095539107,1,warning,7b83d3f0
435317,gige7,gige,temperature,1096178141,1,normal,fea08751
435259,gige7,gige,temperature,1096137336,1,normal,fea08751
435206,node-41,node,temperature,1096130881,1,ambient=32,92f0ab0d
434839,gige5,gige,temperature,1095964227,1,normal,fea08751
434251,gige7,gige,temperature,1095742219,1,warning,7b83d3f0
434198,node-93,node,temperature,1095712050,1,ambient=33,92f0ab0d
434077,gige7,gige,temperature,1095656714,1,warning,7b83d3f0
434057,gige7,gige,temperature,1095644114,1,normal,fea08751
436643,gige6,gige,temperature,1096581363,1,normal,fea08751
436603,gige7,gige,temperature,1096548961,1,normal,fea08751
436574,gige7,gige,temperature,1096527660,1,warning,7b83d3f0
436113,node-22,node,temperature,1096388010,1,ambient=29,92f0ab0d
440293,gige7,gige,temperature,1098009695,1,warning,7b83d3f0
439731,gige7,gige,temperature,1097861497,1,warning,7b83d3f0
439698,gige4,gige,temperature,1097832089,1,normal,fea08751
439070,gige7,gige,temperature,1097642792,1,warning,7b83d3f0
453662,node-127,node,temperature,1099084141,1,ambient=32,92f0ab0d
453378,node-111,node,temperature,1099068271,1,ambient=29,92f0ab0d
453317,gige7,gige,temperature,1099041896,1,normal,fea08751
453176,node-53,node,temperature,1098987302,1,ambient=36,92f0ab0d
452826,node-206,node,temperature,1098903930,1,ambient=29,92f0ab0d
452434,node-203,node,temperature,1098866010,1,ambient=30,92f0ab0d
451528,gige7,gige,temperature,1098821990,1,warning,7b83d3f0
451472,node-246,node,temperature,1098818850,1,ambient=29,92f0ab0d
456184,gige7,gige,temperature,1099776905,1,normal,fea08751
455679,node-122,node,temperature,1099504413,1,ambient=32,92f0ab0d
455240,node-10,node,temperature,1099408230,1,ambient=30,92f0ab0d
455088,node-111,node,temperature,1099356810,1,ambient=32,92f0ab0d
455065,node-113,node,temperature,1099355101,1,ambient=30,92f0ab0d
455027,node-93,node,temperature,1099354051,1,ambient=33,92f0ab0d
455001,node-107,node,temperature,1099351950,1,ambient=31,92f0ab0d
454698,gige5,gige,temperature,1099335170,1,normal,fea08751
454690,node-153,node,temperature,1099334221,1,ambient=33,92f0ab0d
457137,gige7,gige,temperature,1100184616,1,normal,fea08751
456744,node-133,node,temperature,1100077083,1,ambient=33,92f0ab0d
24290,node-213,node,temperature,1100796480,1,ambient=31,92f0ab0d
24877,node-255,node,temperature,1100880930,1,ambient=33,92f0ab0d
25358,gige4,gige,temperature,1100910194,1,critical,7e85bcb6
25493,gige6,gige,temperature,1100956034,1,normal,fea08751
26895,node-36,node,temperature,1101549755,1,ambient=27,92f0ab0d
