Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:51.659,2931,INFO,nova.compute.manager,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Took 19.96 seconds to spawn the instance on the hypervisor.,c161423c
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:51.794,2931,INFO,nova.compute.manager,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Took 20.71 seconds to build instance.,01b41746
nova-scheduler.log.1.2017-05-16_13:53:08,2017-05-16,00:00:57.129,25998,INFO,nova.scheduler.host_manager,req-d724a3bd-e314-4f81-a41c-460aa91f24ae - - - - -,Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'.,732653ea
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:59.733,2931,INFO,nova.compute.manager,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from 2017-05-16 05:00:00 to 2017-05-16 06:00:00. 87 instances.,535d418b
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:00.419,2931,INFO,nova.virt.libvirt.driver,req-d473bea3-588a-441a-8b2a-a137806f8786 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Deleting instance files /var/lib/nova/instances/96abccce-8d1f-4e07-b6d1-4b2ab87e23b4_del,4ffcf4e8
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:00.421,2931,INFO,nova.virt.libvirt.driver,req-d473bea3-588a-441a-8b2a-a137806f8786 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Deletion of /var/lib/nova/instances/96abccce-8d1f-4e07-b6d1-4b2ab87e23b4_del complete,5f08293e
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:01.080,2931,INFO,nova.compute.manager,req-d473bea3-588a-441a-8b2a-a137806f8786 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Took 0.52 seconds to deallocate network for instance.,cccbe73b
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:12.998,2931,INFO,nova.compute.claims,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",bd00e0e9
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:12.999,2931,INFO,nova.compute.claims,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Total memory: 64172 MB, used: 512.00 MB",256e1127
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:13.000,2931,INFO,nova.compute.claims,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Total disk: 15 GB, used: 0.00 GB",80f68b2b
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:13.000,2931,INFO,nova.compute.claims,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] disk limit not specified, defaulting to unlimited",b8a88bd6
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:13.033,2931,INFO,nova.compute.claims,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Claim successful,e2f085e6
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:26.460,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] VM Started (Lifecycle Event),7708177a
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:26.643,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] During sync_power_state the instance has a pending task (spawning). Skip.,65d180af
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:32.992,2931,INFO,nova.virt.libvirt.driver,-,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Instance spawned successfully.,786a91de
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:32.992,2931,INFO,nova.compute.manager,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took 19.37 seconds to spawn the instance on the hypervisor.,a56eae48
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:33.126,2931,INFO,nova.compute.manager,req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took 20.14 seconds to build instance.,c64e9a6f
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:40.859,2931,INFO,nova.virt.libvirt.driver,req-31d09752-6f82-4fc5-ac97-416b9c865af4 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Deleting instance files /var/lib/nova/instances/b562ef10-ba2d-48ae-bf4a-18666cba4a51_del,f14c5abf
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:40.861,2931,INFO,nova.virt.libvirt.driver,req-31d09752-6f82-4fc5-ac97-416b9c865af4 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Deletion of /var/lib/nova/instances/b562ef10-ba2d-48ae-bf4a-18666cba4a51_del complete,6f56d452
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:41.435,2931,INFO,nova.compute.manager,req-31d09752-6f82-4fc5-ac97-416b9c865af4 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took 0.45 seconds to deallocate network for instance.,e9d0784d
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:45.119,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,13866240
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:53.256,2931,INFO,nova.compute.claims,req-caeb3818-dab6-4e8d-9ea6-aceb23905ebc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",7590ec79
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:53.257,2931,INFO,nova.compute.claims,req-caeb3818-dab6-4e8d-9ea6-aceb23905ebc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Total memory: 64172 MB, used: 512.00 MB",5c7850e2
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:53.259,2931,INFO,nova.compute.claims,req-caeb3818-dab6-4e8d-9ea6-aceb23905ebc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Total disk: 15 GB, used: 0.00 GB",649e86f7
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:53.259,2931,INFO,nova.compute.claims,req-caeb3818-dab6-4e8d-9ea6-aceb23905ebc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] disk limit not specified, defaulting to unlimited",5df477ea
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:01:53.293,2931,INFO,nova.compute.claims,req-caeb3818-dab6-4e8d-9ea6-aceb23905ebc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Claim successful,4fe0a741
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:07.339,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] VM Started (Lifecycle Event),969d3364
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:07.518,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] During sync_power_state the instance has a pending task (spawning). Skip.,35dde0d1
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:14.362,2931,INFO,nova.virt.libvirt.driver,-,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Instance spawned successfully.,6ce9a7c1
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:14.362,2931,INFO,nova.compute.manager,req-caeb3818-dab6-4e8d-9ea6-aceb23905ebc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Took 20.47 seconds to spawn the instance on the hypervisor.,2605f93b
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:14.496,2931,INFO,nova.compute.manager,req-caeb3818-dab6-4e8d-9ea6-aceb23905ebc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Took 21.25 seconds to build instance.,eda188bf
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:22.569,2931,INFO,nova.virt.libvirt.driver,req-06631678-1e19-4e4e-bddf-a588d8ea6217 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Deleting instance files /var/lib/nova/instances/78dc1847-8848-49cc-933e-9239b12c9dcf_del,bbcd9e5a
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:22.571,2931,INFO,nova.virt.libvirt.driver,req-06631678-1e19-4e4e-bddf-a588d8ea6217 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Deletion of /var/lib/nova/instances/78dc1847-8848-49cc-933e-9239b12c9dcf_del complete,e08a3401
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:23.171,2931,INFO,nova.compute.manager,req-06631678-1e19-4e4e-bddf-a588d8ea6217 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Took 0.48 seconds to deallocate network for instance.,e57c7fa8
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:35.071,2931,INFO,nova.compute.claims,req-d38f479d-9bb9-4276-9688-52607e8fd350 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",eadb12e0
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:35.072,2931,INFO,nova.compute.claims,req-d38f479d-9bb9-4276-9688-52607e8fd350 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Total memory: 64172 MB, used: 512.00 MB",ef553333
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:35.074,2931,INFO,nova.compute.claims,req-d38f479d-9bb9-4276-9688-52607e8fd350 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Total disk: 15 GB, used: 0.00 GB",ed76bf1b
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:35.075,2931,INFO,nova.compute.claims,req-d38f479d-9bb9-4276-9688-52607e8fd350 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 95960536-049b-41f6-9049-05fc479b6a7c] disk limit not specified, defaulting to unlimited",5c7643a5
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:35.109,2931,INFO,nova.compute.claims,req-d38f479d-9bb9-4276-9688-52607e8fd350 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Claim successful,56aac259
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:48.985,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 95960536-049b-41f6-9049-05fc479b6a7c] VM Started (Lifecycle Event),4a70bfeb
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:49.290,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 95960536-049b-41f6-9049-05fc479b6a7c] During sync_power_state the instance has a pending task (spawning). Skip.,79d153de
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:55.646,2931,INFO,nova.virt.libvirt.driver,-,[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Instance spawned successfully.,f3a905f0
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:55.647,2931,INFO,nova.compute.manager,req-d38f479d-9bb9-4276-9688-52607e8fd350 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Took 19.71 seconds to spawn the instance on the hypervisor.,1441b454
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:02:55.778,2931,INFO,nova.compute.manager,req-d38f479d-9bb9-4276-9688-52607e8fd350 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Took 20.72 seconds to build instance.,55451064
nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:03:04.425,2931,INFO,nova.virt.libvirt.driver,req-a6b9779d-b384-4e84-b3d0-bac079760244 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Deleting instance files /var/lib/nova/instances/95960536-049b-41f6-9049-05fc479b6a7c_del,7cf51959
